Tabla 1;;;;;;;;;;;
;;;;;;;;;;;
Plantas;Visitas R;Degree R;Suma Flor 1 ;Constancia R;Hábito;Status;Dispersion;RV;RG;Uso;IVRc
Achyrocline satureoides;0.058;0.34;5;1.00;1;1;2;1;3;2;16.40
Baccharis articulata;0.029;0.16;2;0.75;2;1;2;1;0;2;10.94
Baccharis coridifolia;0.013;0.14;2;0.75;2;1;2;1;0;1;9.90
Baccharis tandilensis;0.072;0.24;5;0.75;2;2;2;1;1;2;16.06
Colletia paradoxa;0.020;0.17;2;0.50;2;2;1;2;1;4;14.69
Eryngium floribundum;0.012;0.15;1;0.25;1;1;2;2;0;4;11.41
Eryngium horridum;0.045;0.27;1;0.67;1;1;2;2;3;4;14.98
Eryngium regnellii;0.243;0.50;5;1.00;1;1;2;2;3;4;19.74
Eupatorium bupleurifolium;0.013;0.13;1;0.33;2;1;2;1;1;1;9.48
Eupatorium lanigerum;0.018;0.23;2;0.08;1;2;2;1;1;1;10.33
Eupatorium subhastatum;0.035;0.29;2;0.83;1;2;2;2;3;2;15.16
Eupatorium tanacetifolium;0.018;0.19;3;0.92;1;2;2;2;3;2;16.13
Gerardia genistifolia;0.041;0.23;5;0.58;1;2;2;1;3;2;16.85
Hypochaeris rosengurtii;0.010;0.14;5;0.75;1;1;2;1;0;2;12.90
Hysterionica pinifolia;0.034;0.25;5;0.50;1;1;2;2;3;1;15.79
Lathyrus pubescens;0.038;0.11;5;0.92;1;2;1;2;2;4;18.06
Senecio bravensis;0.054;0.18;2;0.67;1;2;2;1;2;2;12.90
Vernonia echioides;0.014;0.12;1;0.83;1;1;2;2;3;1;11.97
